name,effekt,min,best,max,x,y,when,color,content,content_en,x,y
Verlust des Arktischen Wintereises,,"4,5","6,3","8,7",-147.9,78.9,>= 4 °C,#e32e66,"Die Temperaturen in der Arktis <strong>steigen schneller als  in den meisten anderen Regionen</strong>. Manche Modelle erkennen einen abrupten Kollaps des arktische Wintereises ab 4,5 °C. Die besten Schätzungen gehen von ca. 6,3 °C aus.",The temperatures in the Arctic <strong> rise faster than in most other regions </strong>. Some models recognize an abrupt collapse of the Arctic winter ice from 4.5 ° C. The best estimates assume approx. 6.3 ° C.,-147.8983943,78.89697004
Absterben des Borealen Waldes,,"1,4","4,0","5,0",98.5,44.15,>= 4 °C,#e32e66,"Ein Temperaturanstieg könnte zu hydrologischen Änderungen, mehr Feuern und vermehrten Borkenkäfernbefällen führen. Dies könnte den Wald in einen <strong>steppeartigen Zustand</strong> überführen.","A temperature increase could lead to hydrological changes, more fire and increased bark beetles. This could transfer the forest into a <strong> steppe -like state </strong>.",-123.3243429,61.30090826
Kollaps des Borealen Permafrostes,,"3,0","4,0","6,0",95.57,69.62,>= 4 °C,#e32e66,"Dramatischer als das abrupte Auftauen des Permafrostes, würde ein kompletter Verlust dessen <strong>sehr hohe Mengen an Treibhausgasen</strong> in die Atmosphäre entweichen lassen und das globale Klima um ca. 0,2 °C - 0,4 °C erwärmen.","More dramatic than thawing the permafrost, a complete loss of which <strong> would have very high amounts of greenhouse gas </strong> escape into the atmosphere and heat the global climate by approx. 0.2 ° C - 0.4 ° C.",-97.02299024,63.55059382
Verschwinden von Grönlands Gletschern,,"0,8","1,5","3,0",-41.22,74.09,<2 °C,#f6b58a,"Ein kompletter Verlust der Gletscher Grönlands würde von einem <strong>Meeresspiegelanstieg von 7 m.</strong> begleitet werden und die Erde auf den Weg eines uni-polaren Platen begeben. Dazu kommen komplexe Wechselwirkungen mit dem Golfstrom, welcher durch den Süßwassereintrag der Gletscher abgebremst werden könnte. ","A complete loss of the Glacier Greenland would be accompanied by a <strong> marine level increase of 7 m. There are also complex interactions with the Gulf Stream, which could be slowed down by the fresh water input of the glaciers.",-41.21573271,74.09294495
Abschwächung der Zirkulation in der Labradorsee,,"1,1","1,8","3,8",-34,50.11,<2 °C,#f6b58a,"Eng verbunden mit dem Golfstrom, würde auch eine Abschwächung der Zirkulationsströmungen in der Labradorsee, welche bereits bei deutlich niedrigeren Temperaturen einsetzen kann, besonders das <strong>Klima in Europa abkühlen</strong>. ","Closely linked to the Gulf Stream, a weakening of the circulation currents in the Labradorsee, which can already use at significantly lower temperatures, would also cool down the <strong> climate in Europe </strong>.",-33.99534309,50.10586142
Verlust vom Barentsee-Eises,,"1,5","1,6","1,7",38.98,72.08,<2 °C,#f6b58a,Der Verlust des Barentseeeises würde arktische Nahrungsketten verändern und den <strong>Zugang zu fossilen Ressourcen und neue Schifffahrtsrouten</strong> ermöglichen. Eng verbunden mit dem Golfstrom hätte auch ein Verlust des Barentseeeises starke Auswirkungen auf das Klima Europas.,The loss of the barentee ice cream would change arctic food chains and give <strong> access to fossil resources and new shipping routes </strong>. There would also be a strong impact on the climate of Europe.,38.9804745,72.07509305
Abruptes Abtauen vom Borealen Permafrost,,"1,0","1,5","2,4",-97.02,63.55,<2 °C,#f6b58a,"
Das abrupte Auftauen des Permafrostes würde <strong>gigantische Mengen CO2 und Methan freisetzten</strong>, die derzeit noch in der Erde gespeichert sind. Nicht nur für die regionale Vegetation würde dies dramatische Veränderungen mit sich bringen. Auch die Infrastruktur auf dem derzeit noch eisigen Boden müsste großen Herausforderungen standhalten.","
The abrupt thaw on the permafrost would <strong> gigantic amounts of CO2 and methane released </strong>, which are currently still stored in the earth. This would not only bring dramatic changes for regional vegetation. The infrastructure on the currently still icy soil would also have to withstand major challenges.",95.57446768,69.62395991
Nördliche Expansion des Borealen Waldes,,"1,5","4,0","7,2",-122.7,61.36,>= 4 °C,#e32e66,"Eine nördliche Ausweitung des borealen Bioms in die Tundra hinein würde zu weniger reflektierter Hitze und mehr Wärmespeicherung führen. Global könnte dies pro 1 °C Erwärmung zu einer <strong>zusätzlichen Erwärmung von ~ 0,14 °C</strong> führen.","A northern expansion of the boreal bioma into the tundra would lead to less reflected heat and more heat storage. Globally, this could lead to <strong> additional heating of ~ 0.14 ° C </strong> per 1 ° C.",92.06680629,42.6663758
Absterben von Korallenriffen niedriger Breite,,"1,0","1,5","2,0",127.61,0.55,<2 °C,#f6b58a,"Das Absterben der Korallenriffe würde das Ende eines der diversesten Ökosysteme des Planeten bedeuten. Hinzukommen <strong>negative Auswirkungen auf hunderte Millionen von Menschen</strong>, deren Ernährung und Lebensunterhalt von intakten Korallenriffen abhängt.","The death of the coral reefs would mean the end of one of the most diverse ecosystems of the planet. In addition, <strong> negative effects on hundreds of millions of people </strong>, whose diet and livelihood depend on intact coral reefs.",127.6100435,0.5515860031
Kollaps Ost-Antarktischer subglazialer Becken,,"2,0","3,0","6,0",135.67,-74.23,2-3 °C,#ff8c00,"Ähnlich wie ein Verlust des Westantarktischen Eisschildes, würde auch ein Kollaps der subglazialen Becken im Osten der Antarktis <strong>den Meeresspiegel um mehrere Meter</strong> steigen lassen","Similar to a loss of the western antaltical ice sheet, a collapse of the subglacial pelvis in the east of Antarctic <strong> would also increase the sea level by several meters </strong>",135.6670875,-74.23272773
